—	['——', '——', '——', '——', '—']
-	['-', 'text-decoration', 'text-decoration', 'text-decoration', 'font-size', 'font-size', 'font-size', 'z-index', 'z-index', 'z-index', 'font-family', 'font-family', 'font-family', 'background-color', 'background-color', 'background-color', 'E-mail', 'E-mail', 'E-mail', 'line-height', 'line-height', 'line-height', 'GOOD-BOY', 'GOOD-BOY', 'GOOD-BOY', 'F-SK', 'F-SK', 'F-SK', 'e-mail', 'e-mail', 'e-mail', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'com------------------------------------------------------------', 'shiliu-k', 'shiliu-k', 'shiliu-k', 'Stony-Moon', 'Stony-Moon', 'Stony-Moon', 'MS-DOS', 'MS-DOS', 'MS-DOS', 'Xavier-Bati', 'Xavier-Bati', 'Xavier-Bati', 'C-Cube', 'C-Cube', 'C-Cube', 'text-align', 'text-align', 'text-align', 'http-equiv', 'http-equiv', 'http-equiv', 'content-type', 'content-type', 'content-type', 'kevin-liuningOCR', 'kevin-liuningOCR', 'kevin-liuningOCR', 'sans-serif', 'sans-serif', 'sans-serif', 'CD-ROM', 'CD-ROM', 'CD-ROM', 'stay-night', 'stay-night', 'stay-night', 'G-G', 'G-G', 'G-G', 'border-left-color', 'border-left-color', 'border-left-color', 'border-left-color', 'border-left-color', 'border-left-color', 'border-left-color', 'border-left-color', 'border-left-color', 'border-left-color', 'border-bottom-color', 'border-bottom-color', 'border-bottom-color', 'border-bottom-color', 'border-bottom-color', 'border-bottom-color', 'border-bottom-color', 'border-bottom-color', 'border-bottom-color', 'border-bottom-color', 'SS-N', 'SS-N', 'SS-N', 'E-Mail', 'E-Mail', 'E-Mail', 'E--Mail', 'E--Mail', 'E--Mail', 'E--Mail', 'E--Mail', 'E--Mail', 'Wing-king', 'Wing-king', 'Wing-king', 'WING-KING', 'WING-KING', 'WING-KING', 'Bye-Bye', 'Bye-Bye', 'Bye-Bye', 'border-right-color', 'border-right-color', 'border-right-color', 'border-right-color', 'border-right-color', 'border-right-color', 'border-right-color', 'border-right-color', 'border-right-color', 'border-right-color', 'COOL-FIRE', 'COOL-FIRE', 'COOL-FIRE', 'H-H', 'H-H', 'H-H', 'n-e-t', 'n-e-t', 'n-e-t', 'n-e-t', 'n-e-t', 'n-e-t', 'n-e-t', 'n-e-t', 'n-e-t', 'n-e-t', 'rM-rf', 'rM-rf', 'rM-rf', 'border-top-color', 'border-top-color', 'border-top-color', 'border-top-color', 'border-top-color', 'border-top-color', 'border-top-color', 'border-top-color', 'border-top-color', 'border-top-color', 'W-N', 'W-N', 'W-N', 'Wi-Fi', 'Wi-Fi', 'Wi-Fi', 'B-I', 'B-I', 'B-I', 'Bit-Bit', 'Bit-Bit', 'Bit-Bit', 'Good-bye', 'Good-bye', 'Good-bye', 'V-', 'V-', 'bye-bye', 'bye-bye', 'bye-bye', 'Chibrainbio-Guard', 'Chibrainbio-Guard', 'Chibrainbio-Guard', 'Bye-bye', 'Bye-bye', 'Bye-bye', 'c-n', 'c-n', 'c-n', 'M-Geschss', 'M-Geschss', 'M-Geschss', 'F-X', 'F-X', 'F-X', 'Minh-Le', 'Minh-Le', 'Minh-Le', 'Jic-xiao', 'Jic-xiao', 'Jic-xiao', 'Cold-call', 'Cold-call', 'Cold-call', 'Key-in', 'Key-in', 'Key-in', 'k-g', 'k-g', 'k-g', 'BYE-BYE', 'BYE-BYE', 'BYE-BYE', 'Na-K', 'Na-K', 'Na-K', 'Chuang-tzu', 'Chuang-tzu', 'Chuang-tzu', 'Wal-Mart', 'Wal-Mart', 'Wal-Mart', 'date-n', 'date-n', 'date-n', 'border-left-style', 'border-left-style', 'border-left-style', 'border-left-style', 'border-left-style', 'border-left-style', 'border-left-style', 'border-left-style', 'border-left-style', 'border-left-style', 'Good-by', 'Good-by', 'Good-by', 'C-CUBE', 'C-CUBE', 'C-CUBE', 'R-U', 'R-U', 'R-U', 'CD-R', 'CD-R', 'CD-R', 'go-vern-ment', 'go-vern-ment', 'go-vern-ment', 'go-vern-ment', 'go-vern-ment', 'go-vern-ment', 'go-vern-ment', 'go-vern-ment', 'go-vern-ment', 'go-vern-ment', 'easy-cn', 'easy-cn', 'easy-cn', 'N-N', 'N-N', 'N-N', 'f-N', 'f-N', 'f-N', 'MMI-M', 'MMI-M', 'MMI-M', 'JU-dd', 'JU-dd', 'JU-dd', 'Cola-cola', 'Cola-cola', 'Cola-cola', 'Rolls-Royce', 'Rolls-Royce', 'Rolls-Royce', 'close-ref', 'close-ref', 'close-ref', 'Ex-S', 'Ex-S', 'Ex-S', 'E-Z', 'E-Z', 'E-Z', 'i-mode', 'i-mode', 'i-mode', 'CD-RW', 'CD-RW', 'CD-RW', 'Mad-Eye', 'Mad-Eye', 'Mad-Eye', 'MM-NO', 'MM-NO', 'MM-NO', 'Hsun-tzu', 'Hsun-tzu', 'Hsun-tzu', 'U-Matic', 'U-Matic', 'U-Matic']
「	['「']
」	['」']
!	['!']
．	['．', '0．5％', '0．5％', '0．5％', '0．5％', '2．5％', '2．5％', '2．5％', '2．5％', '1．5％', '1．5％', '1．5％', '1．5％', '９．５％', '９．５％', '９．５％', '９．５％', '3．5％', '3．5％', '3．5％', '3．5％', '0．3％', '0．3％', '0．3％', '0．3％', '7．5％', '7．5％', '7．5％', '7．5％', '０．５％', '０．５％', '０．５％', '０．５％', '4．3％', '4．3％', '4．3％', '4．3％', '0．8％', '0．8％', '0．8％', '0．8％', '１．５％', '１．５％', '１．５％', '１．５％']
~	['~', '?~', '?~', '?~', '?~']
－	['－']
#	['#']
～	['～']
