陪	['陪', '少陪', '三陪', '恕不奉陪', '陪斗', '伴陪']
~	['~', '?~', '?~', '?~', '?~']
逼	['逼', '被逼', '逼于无奈', '立逼', '胁逼', '诱逼', '煎逼', '年近岁逼']
帐	['帐', '帷帐', '幔帐', '青纱帐', '升帐', '毡帐', '篷帐', '喜帐']
－	['－']
画	['画', '比画', '眉目如画', '古画', '画板', '风景如画', '入画', '肖像画', '风景画', '指画', '江山如画', '人物画', '一笔一画', '铅笔画', '涂画', '挂画', '西洋画', '漆画', '雕画', '西画', '卡通画', '藏画', '白画', '线画', '铁画', '活画', '水粉画', '风情画', '文人画', '裱画', '图案画', '组画', '石版画', '宗教画', '铜版画', '镶嵌画', '诗中有画', '风俗画', '儿童画', '比画比画', '比画比画', '比画比画', '比画比画', '木炭画', '炭画', '第一画', '口讲指画', '瓷板画', '历历如画', '烙画', '临画', '织画']
#	['#']
狠	['狠', '阴狠', '发狠', '心狠', '好勇斗狠', '毒狠', '心辣手狠', '稳准狠', '贪狠', '心毒手狠', '发发狠']
～	['～']
淡	['淡', '黯淡', '平平淡淡', '平平淡淡', '轻淡', '风轻云淡', '素淡', '愁云惨淡', '天高云淡', '很淡很淡', '很淡很淡', '很淡很淡', '很淡很淡', '极淡极淡', '极淡极淡', '极淡极淡', '极淡极淡']
芒	['芒', '麦芒', '夏芒', '厉芒', '刘芒', '金芒', '黑芒', '青芒', '津芒', '白芒', '阿芒', '勒芒', '凌芒', '不露锋芒', '阿尔芒', '芒芒', '芒芒', '小芒', '冷羽芒', '刑芒', '闪津芒', '强芒', '雷芒', '芒克', '秦芒', '小白芒', '陈其芒', '西芒', '克雷芒', '徐芒', '小试锋芒', '郑芒', '科尔芒', '利芒', '何罗芒', '刘典芒', '日芒', '蓝芒', '芒松', '老芒', '厉寒芒', '兰芒', '麦芒怀里', '杜芒', '扎克芒', '扎克芒', '亚芒', '克莱芒']
搭	['搭', '抽抽搭搭', '抽抽搭搭', '配搭', '兜搭', '交搭', '扭搭', '搭筑', '甩搭', '有搭没搭', '有搭没搭', '有搭没搭', '有搭没搭']
後	['後', '善後', '产後', '敌後']
;	[';', '\x1c;', '\x1c;']
