椮	槮
桨	槳
桩	樁
乐	樂
枞	樅
楼	樓
标	標
枢	樞
样	樣
树	樹
桦	樺
椫	樿
桡	橈
桥	橋
机	機
椭	橢
横	橫
檩	檁
柽	檉
档	檔
桧	檜
槚	檟
检	檢
樯	檣
梼	檮
槛	檻
棹	櫂
橹	櫓
榈	櫚
栉	櫛
椟	櫝
栎	櫟
橱	櫥
槠	櫧
栌	櫨
枥	櫪
橥	櫫
榇	櫬
栊	櫳
榉	櫸
棂	櫺
樱	櫻
栏	欄
权	權
椤	欏
栾	欒
榄	欖
钦	欽
欧	歐
欤	歟
欢	歡
岁	歲
归	歸
殁	歿
残	殘
殒	殞
𣨼	殢
殇	殤
殚	殫
殓	殮
殡	殯
㱩	殰
歼	殲
杀	殺
壳	殼
殴	毆
毵	毿
牦	氂
毡	氈
气	氣
氢	氫
氩	氬
决	決
没	沒
况	況
泄	洩
汹	洶
浃	浹
泾	涇
凉	涼
泪	淚
渌	淥
净	淨
沦	淪
渊	淵
涞	淶
浅	淺
涣	渙
减	減
沨	渢
涡	渦
测	測
浑	渾
凑	湊
𣲗	湋
浈	湞
汤	湯
沩	溈
沟	溝
温	溫
浉	溮
涢	溳
沧	滄
灭	滅
涤	滌
沪	滬
滞	滯
渗	滲
浒	滸
浐	滻
滚	滾
满	滿
渔	漁
溇	漊
沤	漚
汉	漢
涟	漣
渍	漬
涨	漲
溆	漵
渐	漸
浆	漿
颍	潁
泼	潑
洁	潔
𣲘	潕
㴋	潚
潜	潛
润	潤
浔	潯
溃	潰
滗	潷
涠	潿
涩	澀
浇	澆
涝	澇
涧	澗
渑	澠
泽	澤
滪	澦
浍	澮
浊	濁
浓	濃
𣸣	濆
湿	濕
泞	濘
溁	濚
浕	濜
济	濟
涛	濤
滥	濫
潍	濰
滨	濱
溅	濺
泺	濼
滤	濾
滢	瀅
渎	瀆
泻	瀉
浏	瀏
濒	瀕
泸	瀘
沥	瀝
潇	瀟
潆	瀠
潴	瀦
泷	瀧
濑	瀨
潋	瀲
澜	瀾
沣	灃
滠	灄
洒	灑
滩	灘
灏	灝
湾	灣
滦	灤
滟	灩
灾	災
为	為
乌	烏
烃	烴
无	無
炼	煉
炜	煒
烟	煙
茕	煢
焕	煥
烦	煩
炀	煬
𤈶	熉
荧	熒
炝	熗
𬉼	熰
热	熱
颎	熲
炽	熾
𬊤	燀
烨	燁
灯	燈
炖	燉
烧	燒
𬊈	燖
烫	燙
焖	燜
营	營
灿	燦
烛	燭
烩	燴
㶶	燶
烬	燼
焘	燾
烁	爍
炉	爐
烂	爛
争	爭
爷	爺
尔	爾
丬	爿
墙	牆
牍	牘
