6179	他喵的	他喵的	 /drat/frick/(euphemistic variant of 他媽的|他妈的[ta1 ma1 de5])/
6264	仙方儿	仙方兒	 /erhua variant of 仙方[xian1 fang1]/
6403	令嫒	令嬡	 /variant of 令愛|令爱[ling4 ai4]/
6516	以老卖老	以老賣老	 /variant of 倚老賣老|倚老卖老[yi3 lao3 - mai4 lao3]/
6657	分子	份子	 /variant of 分子[fen4 zi3]/
6659	份量	份量	 /variant of 分量[fen4 liang5]/
6708	企画	企畫	 /variant of 企劃|企划[qi3 hua4]/
6744	伊媚儿	伊媚兒	 /variant of 伊妹兒|伊妹儿[yi1 mei4 r5]/
6834	伏侍	伏侍	 /variant of 服侍[fu2 shi5]/
6855	伏牺	伏犧	 /variant of 伏羲[Fu2 xi1]/
6858	伏罪	伏罪	 /variant of 服罪[fu2 zui4]/
6865	伏输	伏輸	 /variant of 服輸|服输[fu2 shu1]/
6866	伏辩	伏辯	 /variant of 服辯|服辩[fu2 bian4]/
6924	伙颐	伙頤	 /variant of 夥頤|夥颐[huo3 yi2]/
7036	伸雪	伸雪	 /variant of 申雪[shen1 xue3]/
7069	伽玛	伽瑪	 /variant of 伽馬|伽马[ga1 ma3]/
7438	作寿	作壽	 /variant of 做壽|做寿[zuo4 shou4]/
7475	作派	作派	 /variant of 做派[zuo4 pai4]/
7584	佳宾	佳賓	 /variant of 嘉賓|嘉宾[jia1 bin1]/
7599	并系群	併系群	 /variant of 並系群|并系群[bing4 xi4 qun2]/
7619	使劲儿	使勁兒	 /erhua variant of 使勁|使劲[shi3 jin4]/
7712	来台	來臺	 /variant of 來台|来台[lai2 - Tai2]/
7738	侈糜	侈糜	 /variant of 侈靡[chi3 mi2]/
7933	局限	侷限	 /variant of 局限[ju2 xian4]/
8025	俄克拉荷马	俄克拉荷馬	 /variant of 俄克拉何馬|俄克拉何马[E2 ke4 la1 he2 ma3]/
8070	俐落	俐落	 /variant of 利落[li4 luo5]/
8172	保母	保母	 /variant of 保姆[bao3 mu3]/
8173	保准	保準	 /variant of 保准[bao3 zhun3]/
8182	保特瓶	保特瓶	 /variant of 寶特瓶|宝特瓶[bao3 te4 ping2]/
8232	保镳	保鑣	 /variant of 保鏢|保镖[bao3 biao1]/
8271	俟机	俟機	 /variant of 伺機|伺机[si4 ji1]/
8293	信口开合	信口開合	 /variant of 信口開河|信口开河[xin4 kou3 kai1 he2]/
8302	信子	信子	 /variant of 芯子[xin4 zi5]/
8509	俳佪	俳佪	 /variant of 徘徊[pai2 huai2]/
8541	俩钱儿	倆錢兒	 /erhua variant of 倆錢|俩钱[lia3 qian2]/
8546	仓卒	倉卒	 /variant of 倉促|仓促[cang1 cu4]/
8552	仓惶	倉惶	 /variant of 倉皇|仓皇[cang1 huang2]/
8554	仓猝	倉猝	 /variant of 倉促|仓促[cang1 cu4]/
8559	仓黄	倉黃	 /variant of 倉皇|仓皇[cang1 huang2]/
8628	倒反天罡	倒反天罡	 /variant of 倒反天綱|倒反天纲[dao4 fan3 tian1 gang1]/
8657	倒持太阿	倒持太阿	 /variant of 倒持泰阿[dao4 chi2 - Tai4 e1]/
8676	倒楣	倒楣	 /variant of 倒霉[dao3 mei2]/
8696	倒背手儿	倒背手兒	 /erhua variant of 倒背手[dao4 bei4 shou3]/
8723	倒采	倒采	 /variant of 倒彩[dao4 cai3]/
8731	倒霉蛋儿	倒霉蛋兒	 /erhua variant of 倒霉蛋[dao3 mei2 dan4]/
8745	倘佯	倘佯	 /variant of 徜徉[chang2 yang2]/
8779	倚托	倚託	 /variant of 倚托[yi3 tuo1]/
8858	倡狂	倡狂	 /variant of 猖狂[chang1 kuang2]/
8914	值勤	值勤	 /variant of 執勤|执勤[zhi2 qin2]/
9013	假托	假託	 /variant of 假托[jia3 tuo1]/
9159	做主	做主	 /variant of 作主[zuo4 zhu3]/
9165	做伴儿	做伴兒	 /erhua variant of 做伴[zuo4 ban4]/
9200	做活儿	做活兒	 /erhua variant of 做活[zuo4 huo2]/
9223	做证	做證	 /variant of 作證|作证[zuo4 zheng4]/
9501	傅会	傅會	 /variant of 附會|附会[fu4 hui4]/
9610	家伙	傢伙	 /variant of 家伙[jia1 huo5]/
9611	家俱	傢俱	 /variant of 家具[jia1 ju4]/
9612	傢具	傢具	 /variant of 家具[jia1 ju4]/
9626	催帐	催帳	 /variant of 催賬|催账[cui1 zhang4]/
9892	傻B	傻B	 /variant of 傻屄[sha3 bi1]/
9904	傻帽儿	傻帽兒	 /erhua variant of 傻帽[sha3 mao4]/
9918	傻逼	傻逼	 /variant of 傻屄[sha3 bi1]/
9977	偻㑩	僂儸	 /variant of 嘍囉|喽啰[lou2 luo5]/
10002	像貌	像貌	 /variant of 相貌[xiang4 mao4]/
10063	雇主	僱主	 /variant of 雇主[gu4 zhu3]/
10302	兀臬	兀臬	 /variant of 杌隉|杌陧[wu4 nie4]/
10303	兀臲	兀臲	 /variant of 杌隉|杌陧[wu4 nie4]/
10318	元来	元來	 /variant of 原來|原来[yuan2 lai2]/
10319	元元本本	元元本本	 /variant of 原原本本[yuan2 yuan2 ben3 ben3]/
10359	元煤	元煤	 /variant of 原煤[yuan2 mei2]/
10463	凶狠	兇狠	 /variant of 凶狠[xiong1 hen3]/
10628	光棍儿	光棍兒	 /bachelor; single man (erhua variant of 光棍[guang1 gun4])/
10706	光采	光采	 /variant of 光彩[guang1 cai3]/
10900	儿媳妇儿	兒媳婦兒	 /erhua variant of 兒媳婦|儿媳妇[er2 xi2 fu4]/
10939	兜儿	兜兒	 /erhua variant of 兜[dou1]/
11234	内哄	內鬨	 /variant of 內訌|内讧[nei4 hong4]/
11302	全愈	全愈	 /variant of 痊癒|痊愈[quan2 yu4]/
11369	全神灌注	全神灌注	 /variant of 全神貫注|全神贯注[quan2 shen2 - guan4 zhu4]/
11544	两头儿	兩頭兒	 /erhua variant of 兩頭|两头[liang3 tou2]/
11576	八哥儿	八哥兒	 /erhua variant of 八哥[ba1 ge1]/
11626	八杆子打不着	八杆子打不著	 /variant of 八竿子打不著|八竿子打不着[ba1 gan1 zi5 da3 bu4 zhao2]/
11704	公布	公佈	 /variant of 公布[gong1 bu4]/
12130	兲朝	兲朝	 /(derog.) the Chinese Communist regime (variant of 天朝[Tian1 chao2] Celestial Empire, invented to circumvent censorship)/
12312	再接再砺	再接再礪	 /variant of 再接再厲|再接再厉[zai4 jie1 zai4 li4]/
12423	冗辞	冗辭	 /variant of 冗詞|冗词[rong3 ci2]/
12432	冘疑	冘疑	 /variant of 猶疑|犹疑[you2 yi2]/
12433	冘豫	冘豫	 /variant of 猶豫|犹豫[you2 yu4]/
12552	冬阴	冬陰	 /variant of 冬蔭|冬荫[dong1 yin1]/
12553	冬阴功	冬陰功	 /variant of 冬蔭功|冬荫功[dong1 yin1 gong1]/
12774	冷颤	冷顫	 /variant of 冷戰|冷战[leng3 zhan5]/
12872	凝炼	凝煉	 /variant of 凝練|凝练[ning2 lian4]/
12933	凯彻	凱徹	 /variant of 愷撒|恺撒, Caesar (emperor)/
12972	凶恶	凶惡	 /variant of 兇惡|凶恶, fierce/ferocious/fiendish/frightening/
13020	凹板	凹板	 /variant of 凹版[ao1 ban3]/
13092	出喽子	出嘍子	 /variant of 出婁子|出娄子[chu1 lou2 zi5]/
13113	出尖儿	出尖兒	 /erhua variant of 出尖[chu1 jian1]/
13146	出楼子	出樓子	 /variant of 出婁子|出娄子[chu1 lou2 zi5]/
13300	函洞	函洞	 /variant of 涵洞[han2 dong4]/
13368	分付	分付	 /variant of 吩咐[fen1 fu4]/
13404	分子	分子	 /Taiwan variant of 份子[fen4 zi5]/
13484	分櫱	分櫱	 /variant of 分蘖[fen1 nie4]/
13701	刊误表	刊誤表	 /variant of 勘誤表|勘误表[kan1 wu4 biao3]/
13769	列别杰夫	列別傑夫	 /variant of 列別捷夫|列别捷夫[Lie4 bie2 jie2 fu1]/
13935	别致	別致	 /variant of 別緻|别致[bie2 zhi4]/
13956	刨根儿	刨根兒	 /erhua variant of 刨根[pao2 gen1]/
13991	利害	利害	 /variant of 厲害|厉害[li4 hai5]/
14014	利是	利是	 /variant of 利事[li4 shi4]/
14073	刮刮叫	刮刮叫	 /variant of 呱呱叫[gua1 gua1 jiao4]/
14241	刻日	刻日	 /variant of 克日[ke4 ri4]/
14242	刻期	刻期	 /variant of 克期[ke4 qi1]/
14250	刻丝	刻絲	 /variant of 緙絲|缂丝[ke4 si1]/
14352	前半天儿	前半天兒	 /erhua variant of 前半天[qian2 ban4 tian1]/
14354	前半晌儿	前半晌兒	 /erhua variant of 前半晌[qian2 ban4 shang3]/
14469	前车之鉴	前車之鑒	 /variant of 前車之鑑|前车之鉴[qian2 che1 zhi1 jian4]/
14480	前边儿	前邊兒	 /erhua variant of 前邊|前边[qian2 bian5]/
14569	刚才	剛纔	 /just now (variant of 剛才|刚才[gang1 cai2])/
14807	剿袭	剿襲	 /variant of 抄襲|抄袭[chao1 xi2]/
14822	划十字	劃十字	 /variant of 畫十字|画十字[hua4 shi2 zi4]/
14832	划等号	劃等號	 /variant of 畫等號|画等号[hua4 deng3 hao4]/
14865	劈哩啪啦	劈哩啪啦	 /variant of 噼里啪啦[pi1 li5 pa1 la1]/
14877	劈里啪啦	劈里啪啦	 /variant of 噼里啪啦[pi1 li5 pa1 la1]/
15115	加劲儿	加勁兒	 /erhua variant of 加勁|加劲[jia1 jin4]/
15200	加注	加注	 /to increase a bet; to raise (in poker); to raise the stakes/to add; to pour in/variant of 加註|加注[jia1 zhu4]/
15333	努嘴儿	努嘴兒	 /erhua variant of 努嘴[nu3 zui3]/
15377	劲儿	勁兒	 /erhua variant of 勁|劲[jin4]/
15497	动嘴皮儿	動嘴皮兒	 /erhua variant of 動嘴皮|动嘴皮[dong4 zui3 pi2]/
15554	动荡	動盪	 /variant of 動蕩|动荡[dong4 dang4]/
15596	勘查	勘查	 /variant of 勘察[kan1 cha2]/
15670	劳劳叨叨	勞勞叨叨	 /variant of 嘮嘮叨叨|唠唠叨叨[lao2 lao5 dao1 dao1]/
15690	劳瘵	勞瘵	 /variant of 癆瘵|痨瘵[lao2 zhai4]/
15795	劝戒	勸戒	 /variant of 勸誡|劝诫[quan4 jie4]/
15845	勾联	勾聯	 /variant of 勾連|勾连[gou1 lian2]/
15857	勾阑	勾闌	 /variant of 勾欄|勾栏[gou1 lan2]/
15874	包干儿	包乾兒	 /erhua variant of 包乾|包干[bao1 gan1]/
15910	包扎	包扎	 /variant of 包紮|包扎[bao1 za1]/
15943	包米	包米	 /variant of 苞米[bao1 mi3]/
15994	匆卒	匆卒	 /old variant of 匆猝[cong1 cu4]/
16008	匍伏	匍伏	 /variant of 匍匐[pu2 fu2]/
16288	北边儿	北邊兒	 /erhua variant of 北邊|北边[bei3 bian1]/
16371	汇总	匯總	 /variant of 彙總|汇总[hui4 zong3]/
16399	匹耦	匹耦	 /variant of 匹偶[pi3 ou3]/
16543	十锦	十錦	 /variant of 什錦|什锦[shi2 jin3]/
16715	半分儿	半分兒	 /erhua variant of 半分[ban4 fen1]/
16843	半开门儿	半開門兒	 /erhua variant of 半開門|半开门[ban4 kai1 men2]/
17149	南边儿	南邊兒	 /erhua variant of 南邊|南边[nan2 bian5]/
17345	卡哇依	卡哇依	 /variant of 卡哇伊[ka3 wa1 yi1]/
17346	卡啦	卡啦	 /crispy, deep-fried (variant of 卡拉[ka3 la1])/
17693	卷帘门	卷簾門	 /variant of 捲簾門|卷帘门[juan3 lian2 men2]/
17699	卷起	卷起	 /variant of 捲起|卷起[juan3 qi3]/
17862	原故	原故	 /variant of 緣故|缘故[yuan2 gu4]/
17896	原由	原由	 /variant of 緣由|缘由[yuan2 you2]/
18089	参预	參預	 /variant of 參與|参与[can1 yu4]/
18247	反复	反復	 /variant of 反覆|反复[fan3 fu4]/
18312	反璞归真	反璞歸真	 /variant of 返璞歸真|返璞归真[fan3 pu2 gui1 zhen1]/
18397	反面儿	反面兒	 /erhua variant of 反面[fan3 mian4]/
18985	叫化子	叫化子	 /variant of 叫花子[jiao4 hua1 zi5]/
19060	可劲儿	可勁兒	 /erhua variant of 可勁|可劲[ke3 jin4]/
19142	可望而不可即	可望而不可即	 /variant of 可望而不可及[ke3 wang4 er2 bu4 ke3 ji2]/
19220	台中	台中	 /variant of 臺中|台中[Tai2 zhong1]/
19252	台湾	台灣	 /variant of 臺灣|台湾[Tai2 wan1]/
19274	叱吒	叱吒	 /variant of 叱咤[chi4 zha4]/
19363	右边儿	右邊兒	 /erhua variant of 右邊|右边[you4 bian5]/
19610	合并	合並	 /variant of 合併|合并[he2 bing4]/
19637	合夥	合夥	 /variant of 合伙[he2 huo3]/
19638	合夥人	合夥人	 /variant of 合伙人[he2 huo3 ren2]/
19652	合式	合式	 /conforming to a pattern; up to standard/variant of 合適|合适[he2 shi4]/
19750	合辙儿	合轍兒	 /erhua variant of 合轍|合辙[he2 zhe2]/
19863	吊卷	吊卷	 /variant of 調卷|调卷[diao4 juan4]/
20072	同调	同調	 /same tone/in agreement with/homology (invariant of a topological space in math.)/
20173	名牌儿	名牌兒	 /erhua variant of 名牌[ming2 pai2]/
20188	名素	名素	 /variant of 名宿[ming2 su4]/
20202	名角儿	名角兒	 /erhua variant of 名角[ming2 jue2]/
20245	吐嘈	吐嘈	 /variant of 吐槽[tu4 cao2]/
20461	含胡	含胡	 /variant of 含糊[han2 hu5]/
