21三体综合症	21三體綜合症
蒲团	蒲團
蔷薇十字团	薔薇十字團
评审团	評審團
调查团	調查團
谜团	謎團
财团	財團
跑团	跑團
路透集团	路透集團
踩线团	踩線團
军团	軍團
军团菌	軍團菌
军团菌病	軍團菌病
军乐团	軍樂團
选举人团	選舉人團
选举团	選舉團
陕飞集团	陝飛集團
陪审团	陪審團
集团	集團
集团军	集團軍
青年团	青年團
马噶尔尼使团	馬噶爾尼使團
马戛尔尼使团	馬戛爾尼使團
马戏团	馬戲團
体团	體團
党团	黨團
团子	糰子
青团	青糰
饭团	飯糰
不含糊	不含糊
口糊	口糊
含糊	含糊
含糊不清	含糊不清
含糊其词	含糊其詞
晕糊	暈糊
模糊	模糊
模糊不清	模糊不清
模糊数学	模糊數學
模糊逻辑	模糊邏輯
浆糊	漿糊
烂泥糊不上墙	爛泥糊不上牆
烂糊	爛糊
眵目糊	眵目糊
糊剂	糊劑
糊口	糊口
糊名	糊名
糊嘴	糊嘴
糊弄	糊弄
糊墙	糊牆
糊墙纸	糊牆紙
糊精	糊精
糨糊	糨糊
血肉模糊	血肉模糊
裱糊	裱糊
觑糊	覷糊
迷糊	迷糊
养家糊口	養家糊口
麦芽糊精	麥芽糊精
黏糊	黏糊
一败涂地	一敗塗地
涂乙	塗乙
涂去	塗去
涂家	塗家
涂写	塗寫
涂层	塗層
涂径	塗徑
涂抹	塗抹
涂抹酱	塗抹醬
涂改	塗改
涂改液	塗改液
涂敷	塗敷
涂料	塗料
涂污	塗污
涂油	塗油
涂潭	塗潭
涂炭	塗炭
涂片	塗片
涂白剂	塗白劑
涂脂抹粉	塗脂抹粉
涂盖	塗蓋
涂装	塗裝
涂饰	塗飾
涂饰剂	塗飾劑
涂鸦	塗鴉
弹涂鱼	彈塗魚
海涂	海塗
海涂围垦	海塗圍墾
滩涂	灘塗
乌涂	烏塗
生灵涂炭	生靈塗炭
肝脑涂地	肝腦塗地
苍生涂炭	蒼生塗炭
涂山	涂山
一夫当关，万夫莫开	一夫當關，萬夫莫開
一马当先	一馬當先
上一次当，学一次乖	上一次當，學一次乖
上当	上當
上当受骗	上當受騙
不敢当	不敢當
不正当	不正當
不正当竞争	不正當競爭
不减当年	不減當年
不当	不當
不当事	不當事
不当家不知柴米贵	不當家不知柴米貴
不当得利	不當得利
不当紧	不當緊
亚当	亞當
亚当·斯密	亞當·斯密
亚当斯	亞當斯
亚当斯敦	亞當斯敦
便当	便當
停当	停當
允当	允當
充当	充當
两当	兩當
两当县	兩當縣
典当	典當
分当	分當
剂量当量	劑量當量
势不可当	勢不可當
勾当	勾當
又想当婊子又想立牌坊	又想當婊子又想立牌坊
吃亏上当	吃虧上當
合当	合當
吊儿郎当	吊兒郎當
吐便当	吐便當
咣当	咣當
啷当	啷當
喜当爹	喜當爹
噶当派	噶當派
大敌当前	大敵當前
大而无当	大而無當
失当	失當
夹当	夾當
好活当赏	好活當賞
好汉不提当年勇	好漢不提當年勇
好汉做事好汉当	好漢做事好漢當
妥当	妥當
安步当车	安步當車
家当	家當
对酒当歌	對酒當歌
得当	得當
快当	快當
恰当	恰當
悔不当初	悔不當初
悲歌当哭	悲歌當哭
想当然	想當然
想当然尔	想當然爾
愧不敢当	愧不敢當
应当	應當
承当	承當
把方便当随便	把方便當隨便
拿着鸡毛当令箭	拿著雞毛當令箭
担当	擔當
敢做敢当	敢做敢當
斯当东	斯當東
旗鼓相当	旗鼓相當
既有今日何必当初	既有今日何必當初
既要当婊子又要立牌坊	既要當婊子又要立牌坊
早知今日何必当初	早知今日何必當初
有福同享，有祸同当	有福同享，有禍同當
有福同享，有难同当	有福同享，有難同當
核当量	核當量
梯恩梯当量	梯恩梯當量
权当	權當
欧当归	歐當歸
正当中	正當中
正当年	正當年
正当性	正當性
正当时	正當時
正当理由	正當理由
正当防卫	正當防衛
武当山	武當山
死当	死當
死马当活马医	死馬當活馬醫
每当	每當
泽当	澤當
乌当	烏當
乌当区	烏當區
爽当	爽當
牢靠妥当	牢靠妥當
理所应当	理所應當
理所当然	理所當然
理当	理當
瓦当	瓦當
当上	當上
当下	當下
当世	當世
当世之冠	當世之冠
当世冠	當世冠
当世无双	當世無雙
当中	當中
当之有愧	當之有愧
当之无愧	當之無愧
当事人	當事人
当事国	當事國
当事者	當事者
当仁不让	當仁不讓
当今	當今
当代	當代
当代史	當代史
当代新儒家	當代新儒家
当令	當令
当作	當作
当值	當值
当做	當做
当儿	當兒
当兵	當兵
当初	當初
当前	當前
当务之急	當務之急
当即	當即
当口	當口
当地	當地
当地居民	當地居民
当地时间	當地時間
当场	當場
当季	當季
当家	當家
当家作主	當家作主
当心	當心
当成	當成
当掉	當掉
当政	當政
当政者	當政者
当断不断	當斷不斷
当断则断	當斷則斷
当断即断	當斷即斷
当枪使	當槍使
当机	當機
当机立断	當機立斷
当权	當權
当权派	當權派
当权者	當權者
当归	當歸
当然	當然
当牛作马	當牛作馬
当班	當班
当真	當真
当众	當眾
当空	當空
当红	當紅
当耳旁风	當耳旁風
当耳边风	當耳邊風
当着	當著
当行出色	當行出色
当街	當街
当责	當責
当轴	當軸
当道	當道
当选	當選
当量	當量
当量剂量	當量劑量
当铺	當鋪
当阳	當陽
当阳市	當陽市
当雄	當雄
当雄县	當雄縣
当驾	當駕
相当	相當
石敢当	石敢當
稳当	穩當
空当	空當
穷当益坚	窮當益堅
等效百万吨当量	等效百萬噸當量
精当	精當
约当现金	約當現金
织当访婢	織當訪婢
罚不当罪	罰不當罪
羞愧难当	羞愧難當
老当益壮	老當益壯
耕当问奴	耕當問奴
至当	至當
万夫不当	萬夫不當
螳臂当车	螳臂當車
行当	行當
该当	該當
说话不当话	說話不當話
豺狼当路	豺狼當路
豺狼当道	豺狼當道
过当	過當
锐不可当	銳不可當
锡当河	錫當河
门当户对	門當戶對
阎王好见，小鬼难当	閻王好見，小鬼難當
防卫过当	防衛過當
难当	難當
顺当	順當
领便当	領便當
麦当劳	麥當勞
麦当劳叔叔	麥當勞叔叔
麦当娜	麥當娜
丁零当啷	丁零噹啷
半瓶水响叮当	半瓶水響叮噹
叮当	叮噹
叮当声	叮噹聲
叮当响	叮噹響
响叮当	響叮噹
一对一斗牛	一對一鬥牛
三对三斗牛	三對三鬥牛
二虎相斗，必有一伤	二虎相鬥，必有一傷
人权斗士	人權鬥士
傲霜斗雪	傲霜鬥雪
内部斗争	內部鬥爭
内斗	內鬥
两虎相斗	兩虎相鬥
两虎相斗，必有一伤	兩虎相鬥，必有一傷
勾心斗角	勾心鬥角
化学战斗部	化學戰鬥部
博斗	博鬥
反右派斗争	反右派鬥爭
反袁斗争	反袁鬥爭
单打独斗	單打獨鬥
坐山观虎斗	坐山觀虎鬥
奋斗	奮鬥
好男不跟女斗	好男不跟女鬥
好斗	好鬥
恶斗	惡鬥
战斗	戰鬥
战斗力	戰鬥力
战斗机	戰鬥機
战斗营	戰鬥營
战斗群	戰鬥群
战斗者	戰鬥者
战斗舰	戰鬥艦
战斗部	戰鬥部
打斗	打鬥
批斗	批鬥
批斗大会	批鬥大會
拌嘴斗舌	拌嘴鬥舌
拼斗	拼鬥
挨斗	挨鬥
揪斗	揪鬥
搏斗	搏鬥
明争暗斗	明爭暗鬥
核战斗部	核戰鬥部
格斗	格鬥
械斗	械鬥
权力斗争	權力鬥爭
正义斗争	正義鬥爭
殴斗	毆鬥
决斗	決鬥
争妍斗艳	爭妍鬥艷
争斗	爭鬥
环保斗士	環保鬥士
生命不息，战斗不止	生命不息，戰鬥不止
空中格斗	空中格鬥
综合格斗	綜合格鬥
罗马斗兽场	羅馬鬥獸場
航空母舰战斗群	航空母艦戰鬥群
艰苦奋斗	艱苦奮鬥
蚁斗蜗争	蟻鬥蝸爭
角斗	角鬥
角斗场	角鬥場
角斗士	角鬥士
触斗蛮争	觸鬥蠻爭
夸多斗靡	誇多鬥靡
阶级斗争	階級鬥爭
斗口齿	鬥口齒
斗嘴	鬥嘴
斗地主	鬥地主
斗士	鬥士
斗批改	鬥批改
斗拳	鬥拳
斗智	鬥智
斗殴	鬥毆
斗气	鬥氣
斗争	鬥爭
斗争性	鬥爭性
斗牛㹴	鬥牛㹴
斗牛士	鬥牛士
斗牛士之歌	鬥牛士之歌
斗眼	鬥眼
斗私批修	鬥私批修
斗舰	鬥艦
斗鸡	鬥雞
斗鸡眼	鬥雞眼
斗鸡走马	鬥雞走馬
斗霜傲雪	鬥霜傲雪
龙争虎斗	龍爭虎鬥
龙虎斗	龍虎鬥
五斗米道	五斗米道
人不可貌相，海水不可斗量	人不可貌相，海水不可斗量
全斗焕	全斗煥
八斗之才	八斗之才
公斗	公斗
冰斗	冰斗
刁斗	刁斗
北斗	北斗
北斗七星	北斗七星
北斗星	北斗星
北斗镇	北斗鎮
升斗	升斗
升斗小民	升斗小民
南箕北斗	南箕北斗
吊斗	吊斗
墨斗	墨斗
小便斗	小便斗
山斗	山斗
巴斗	巴斗
戽斗	戽斗
才高八斗	才高八斗
扶不起的阿斗	扶不起的阿斗
抽斗	抽斗
拖斗	拖斗
挎斗	挎斗
斗内	斗內
斗六	斗六
斗六市	斗六市
斗南	斗南
斗南镇	斗南鎮
斗大	斗大
斗室	斗室
斗拱	斗拱
斗柄	斗柄
斗笠	斗笠
斗筲	斗筲
斗筲之人	斗筲之人
斗筲之器	斗筲之器
斗筲之材	斗筲之材
斗篷	斗篷
斗胆	斗膽
斗车	斗車
斗转星移	斗轉星移
斗门	斗門
斗门区	斗門區
料斗	料斗
星斗	星斗
星移斗转	星移斗轉
栽筋斗	栽筋斗
横筋斗	橫筋斗
横翻筋斗	橫翻筋斗
步斗踏罡	步斗踏罡
步罡踏斗	步罡踏斗
泰山北斗	泰山北斗
泰斗	泰斗
海水不可斗量	海水不可斗量
漏斗	漏斗
为五斗米折腰	為五斗米折腰
烟斗	煙斗
熨斗	熨斗
烫斗	燙斗
畚斗	畚斗
科斗	科斗
笆斗	笆斗
筋斗	筋斗
紫微斗数	紫微斗數
翻斗卡车	翻斗卡車
翻筋斗	翻筋斗
翻跟斗	翻跟斗
跟斗	跟斗
车斗	車斗
车载斗量	車載斗量
防毒斗篷	防毒斗篷
阿斗	阿斗
赌斗	賭鬭
一年之计在于春	一年之計在於春
一日之计在于晨	一日之計在於晨
不下于	不下於
不亚于	不亞於
不甘于	不甘於
不绝于耳	不絕於耳
不绝于途	不絕於途
不至于	不至於
事实胜于雄辩	事實勝於雄辯
人浮于事	人浮於事
介于	介於
以利于	以利於
以至于	以至於
位于	位於
低于	低於
何济于事	何濟於事
来源于	來源於
供大于求	供大於求
供过于求	供過於求
便于	便於
假手于人	假手於人
倾向于	傾向於
仅次于	僅次於
优于	優於
免于	免於
公之于世	公之於世
公之于众	公之於眾
公诸于世	公諸於世
出于	出於
利于	利於
勇于	勇於
取决于	取決於
受命于天	受命於天
受聘于	受聘於
合于	合於
合于时宜	合於時宜
哀莫大于心死	哀莫大於心死
问道于盲	問道於盲
善于	善於
喜形于色	喜形於色
严于律己	嚴於律己
在于	在於
基于	基於
多于	多於
大于	大於
嫁祸于人	嫁禍於人
孤独于世	孤獨於世
安于	安於
安于现状	安於現狀
定于	定於
定于一尊	定於一尊
宜于	宜於
富于	富於
富于想像	富於想像
寓教于乐	寓教於樂
寓管理于服务之中	寓管理於服務之中
专美于前	專美於前
对于	對於
小于	小於
居住于	居住於
属于	屬於
工于心计	工於心計
己所不欲，勿施于人	己所不欲，勿施於人
形于色	形於色
得益于	得益於
忙于	忙於
忠于	忠於
怒形于色	怒形於色
急于	急於
急于星火	急於星火
急于求成	急於求成
拙于言词	拙於言詞
拟于不伦	擬於不倫
敢于	敢於
于事无补	於事無補
于心不忍	於心不忍
于是	於是
于是乎	於是乎
于焉	於焉
易于	易於
易于反掌	易於反掌
有利于	有利於
有助于	有助於
有悖于	有悖於
有赖于	有賴於
有鉴于此	有鑒於此
染指于鼎	染指於鼎
植根于	植根於
业精于勤	業精於勤
业荒于嬉	業荒於嬉
乐于	樂於
乐于助人	樂於助人
次于	次於
归于	歸於
死于安乐	死於安樂
死于非命	死於非命
求助于人	求助於人
求道于盲	求道於盲
流于	流於
流于形式	流於形式
源于	源於
濒于	瀕於
无动于衷	無動於衷
无济于事	無濟於事
甘于	甘於
甚而至于	甚而至於
甚至于	甚至於
生命在于运动	生命在於運動
用于	用於
由于	由於
毕其功于一役	畢其功於一役
疏于	疏於
疲于奔命	疲於奔命
碍于	礙於
积于忽微	積於忽微
穷于应付	窮於應付
等于	等於
精于	精於
精于此道	精於此道
约等于	約等於
终于	終於
缘于	緣於
置于	置於
羞于启齿	羞於啟齒
老于世故	老於世故
耿耿于怀	耿耿於懷
聊胜于无	聊勝於無
闻名于世	聞名於世
至于	至於
臻于完善	臻於完善
臻于郅治	臻於郅治
苦于	苦於
莫过于	莫過於
落于下风	落於下風
著称于世	著稱於世
处于	處於
血浓于水	血濃於水
言归于好	言歸於好
贬多于褒	貶多於褒
趋于	趨於
身教胜于言教	身教勝於言教
轻于鸿毛	輕於鴻毛
迫于	迫於
过于	過於
迁怒于人	遷怒於人
醉心于	醉心於
重于泰山	重於泰山
鉴于	鑒於
长于	長於
关于	關於
防患于未然	防患於未然
限于	限於
陷于	陷於
陷于瘫痪	陷於癱瘓
难于接近	難於接近
难于登天	難於登天
高于	高於
于丹	于丹
于归	于歸
于归之喜	于歸之喜
于洪	于洪
于洪区	于洪區
于田	于田
于田县	于田縣
于都	于都
于都县	于都縣
单于	單于
淳于	淳于
袁于令	袁于令
一方面	一方面
一面	一面
一面之交	一面之交
一面之词	一面之詞
一面倒	一面倒
一体两面	一體兩面
上面	上面
上面级	上面級
不识庐山真面目	不識廬山真面目
不连续面	不連續面
不体面	不體面
世面	世面
丢面子	丟面子
九面体	九面體
二十面体	二十面體
人机界面	人機界面
人面兽心	人面獸心
介面	介面
以泪洗面	以淚洗面
位面	位面
修面	修面
假面	假面
假面具	假面具
假面舞会	假面舞會
侧面	側面
光面内质网	光面內質網
全面	全面
全面禁止	全面禁止
全面禁止核试验条约	全面禁止核試驗條約
两面	兩面
两面三刀	兩面三刀
两面人	兩面人
两面刃	兩面刃
两面派	兩面派
两面针	兩面針
八疸身面黄	八疸身面黃
八面玲珑	八面玲瓏
八面体	八面體
六面体	六面體
共面	共面
凸多面体	凸多面體
凸面	凸面
凸面镜	凸面鏡
凸面体	凸面體
凹面镜	凹面鏡
出面	出面
切平面	切平面
切面	切面
前面	前面
剖面	剖面
劈面	劈面
北面	北面
十二面体	十二面體
十面埋伏	十面埋伏
南面	南面
占地面积	占地面積
反光面	反光面
反射面	反射面
反面	反面
反面人物	反面人物
反面教员	反面教員
反面教材	反面教材
另一方面	另一方面
右面	右面
单方面	單方面
四个全面	四個全面
四面	四面
四面八方	四面八方
四面楚歌	四面楚歌
四面体	四面體
图像用户介面	圖像用戶介面
图形用户界面	圖形用戶界面
图形界面	圖形界面
在下面	在下面
地面	地面
地面层	地面層
地面控制	地面控制
地面核爆炸	地面核爆炸
地面气压	地面氣壓
地面水	地面水
地面灌溉	地面灌溉
地面部队	地面部隊
基本多文种平面	基本多文種平面
基面	基面
场面	場面
外面	外面
多侧面	多側面
多方面	多方面
多面手	多面手
多面角	多面角
多面体	多面體
大面积	大面積
失面子	失面子
失体面	失體面
字面	字面
封面	封面
对偶多面体	對偶多面體
对立面	對立面
对面	對面
屋面	屋面
屋面瓦	屋面瓦
层面	層面
工作面	工作面
左面	左面
市面	市面
市面上	市面上
平行六面体	平行六面體
平面	平面
平面图	平面圖
平面波	平面波
平面角	平面角
平面设计	平面設計
底面	底面
店面	店面
弯液面	彎液面
影响层面	影響層面
影响面	影響面
怒容满面	怒容滿面
情面	情面
爱面子	愛面子
应用程式介面	應用程式介面
截面	截面
扇面琴	扇面琴
投影面	投影面
抛物面	拋物面
抛头露面	拋頭露面
掌子面	掌子面
排面	排面
采煤工作面	採煤工作面
掩面而泣	掩面而泣
撑场面	撐場面
撑门面	撐門面
扑面	撲面
扑面而来	撲面而來
改头换面	改頭換面
数据介面	數據介面
文面	文面
斜面	斜面
方面	方面
春风满面	春風滿面
晤面	晤面
书面	書面
书面许可	書面許可
书面语	書面語
会面	會面
有排面	有排面
本来面目	本來面目
本地管理界面	本地管理界面
东面	東面
桌面	桌面
桌面儿上	桌面兒上
楼面	樓面
桥面	橋面
横剖面	橫剖面
横截面	橫截面
横断面	橫斷面
正反两面	正反兩面
正多面体	正多面體
正面	正面
死要面子	死要面子
死要面子活受罪	死要面子活受罪
水平面	水平面
水面	水面
江面	江面
河面	河面
波面	波面
洋面	洋面
洗心革面	洗心革面
洗面	洗面
洗面乳	洗面乳
洗面奶	洗面奶
活动桌面	活動桌面
浮出水面	浮出水面
浮面	浮面
海平面	海平面
海面	海面
液面	液面
泪流满面	淚流滿面
满面	滿面
满面春风	滿面春風
洁面乳	潔面乳
洁面露	潔面露
照面	照面
争面子	爭面子
墙面	牆面
片面	片面
版面	版面
版面费	版面費
狮身人面像	獅身人面像
球面	球面
球面度	球面度
环面	環面
用户界面	用戶界面
界面	界面
画面	畫面
异面直线	異面直線
白翎面	白翎面
白面书生	白面書生
皮面	皮面
直面	直面
相平面	相平面
相面	相面
真面目	真面目
知人知面不知心	知人知面不知心
碰面	碰面
碍面子	礙面子
神秘面纱	神秘面紗
票面值	票面值
立面图	立面圖
端面	端面
笑面虎	笑面虎
第四面墙	第四面牆
糙面内质网	糙面內質網
素未谋面	素未謀面
素面朝天	素面朝天
给面子	給面子
网路节点介面	網路節點介面
网开一面	網開一面
网开三面	網開三面
纵剖面	縱剖面
纵断面	縱斷面
总平面图	總平面圖
耳提面命	耳提面命
闻名不如见面	聞名不如見面
背面	背面
胎面	胎面
脚面	腳面
脸面	臉面
舌面	舌面
莫霍洛维奇不连续面	莫霍洛維奇不連續面
莫霍面	莫霍面
菱形六面体	菱形六面體
蓬头垢面	蓬頭垢面
蓬首垢面	蓬首垢面
薄面	薄面
被面	被面
装门面	裝門面
装点门面	裝點門面
西面	西面
要面子	要面子
覆盖面	覆蓋面
见世面	見世面
见面	見面
见面会	見面會
见面礼	見面禮
解理面	解理面
谋面	謀面
谜面	謎面
负面	負面
买面子	買面子
贴合面	貼合面
资料介面	資料介面
卖面子	賣面子
账面	賬面
赢面	贏面
超平面	超平面
路面	路面
路面电车	路面電車
转面无情	轉面無情
迎面	迎面
迎面而来	迎面而來
避不见面	避不見面
锋面	鋒面
铺面房	鋪面房
锥面	錐面
铁面	鐵面
铁面无私	鐵面無私
门面	門面
关公面前耍大刀	關公面前耍大刀
关节面	關節面
防毒面具	防毒面具
防毒面罩	防毒面罩
附面层	附面層
阴暗面	陰暗面
阴面	陰面
双凸面	雙凸面
双面	雙面
双面人	雙面人
双面胶	雙面膠
露面	露面
青面獠牙	青面獠牙
面不改色	面不改色
面世	面世
面交	面交
面值	面值
面儿	面兒
面具	面具
面前	面前
面友	面友
面向	面嚮
面向对象语言	面嚮對象語言
面向连接	面嚮連接
面型	面型
面基	面基
面壁	面壁
面壁思过	面壁思過
面如土色	面如土色
面如灰土	面如灰土
面孔	面孔
面容	面容
面对	面對
面巾	面巾
面市	面市
面带	面帶
面带愁容	面帶愁容
面带病容	面帶病容
面形	面形
面影	面影
面心立方最密堆积	面心立方最密堆積
面恶心善	面惡心善
面态	面態
面授	面授
面授机宜	面授機宜
面叙	面敘
面料	面料
面斥	面斥
面晤	面晤
面有菜色	面有菜色
面有难色	面有難色
面朝黄土背朝天	面朝黃土背朝天
面无人色	面無人色
面熟	面熟
面瓜	面瓜
面瘫	面癱
面疱	面皰
面目	面目
面目一新	面目一新
面目全非	面目全非
面目可憎	面目可憎
面相	面相
面砖	面磚
面称	面稱
面积	面積
面簿	面簿
面红耳赤	面紅耳赤
面纱	面紗
面纸	面紙
面罄	面罄
面罩	面罩
面膜	面膜
面临	面臨
面色	面色
面色如土	面色如土
面见	面見
面试	面試
面试官	面試官
面谈	面談
面谀	面諛
面谕	面諭
面谢	面謝
面议	面議
面誉	面譽
面貌	面貌
面部	面部
面镜	面鏡
面霜	面霜
面露	面露
面露不悦	面露不悅
面露倦意	面露倦意
面颊	面頰
面额	面額
面颜	面顏
面首	面首
面黄肌瘦	面黃肌瘦
面庞	面龐
革面洗心	革面洗心
页面	頁面
顶面	頂面
头面	頭面
头面人物	頭面人物
颜面	顏面
颜面扫地	顏面掃地
颠儿面	顛兒面
类球面	類球面
饰面	飾面
马面	馬面
驳面子	駁面子
体面	體面
黎曼面	黎曼面
黑暗面	黑暗面
黥面	黥面
丁丁炒面	丁丁炒麵
中筋面粉	中筋麵粉
伊府面	伊府麵
伊面	伊麵
低筋面粉	低筋麵粉
光面	光麵
公仔面	公仔麵
刀削面	刀削麵
千层面	千層麵
和面	和麵
圆面饼	圓麵餅
地瓜面	地瓜麵
寿面	壽麵
小面包	小麵包
尖管面	尖管麵
弯管面	彎管麵
快熟面	快熟麵
意大利直面	意大利直麵
意大利面	意大利麵
意面	意麵
抻面	抻麵
拉面	拉麵
拌面	拌麵
拖鞋面包	拖鞋麵包
挂面	掛麵
搋面	搋麵
擀面杖	擀麵杖
担仔面	擔仔麵
担担面	擔擔麵
斜管面	斜管麵
方便面	方便麵
杯面	杯麵
棒子面	棒子麵
橡子面	橡子麵
死面	死麵
水管面	水管麵
油泼扯面	油潑扯麵
油泼面	油潑麵
泡面	泡麵
凉拌面	涼拌麵
凉面	涼麵
汤面	湯麵
澄面	澄麵
火鸡面	火雞麵
炒面	炒麵
炸酱面	炸醬麵
乌龙面	烏龍麵
烤面包	烤麵包
烤面包机	烤麵包機
无筋面粉	無筋麵粉
烟管面	煙管麵
烩面	燴麵
牛肉面	牛肉麵
牛角面包	牛角麵包
猴面包	猴麵包
猴面包树	猴麵包樹
玉米面	玉米麵
生力面	生力麵
白面	白麵
白面儿	白麵兒
空心面	空心麵
笔管面	筆管麵
米面	米麵
粗管面	粗管麵
羊角面包	羊角麵包
义大利面	義大利麵
肉汤面	肉湯麵
莜面	莜麵
螺旋面	螺旋麵
通心面	通心麵
速食面	速食麵
过水面	過水麵
醒面	醒麵
锅烧意面	鍋燒意麵
阳春面	陽春麵
杂和面	雜和麵
饧面	餳麵
高筋面粉	高筋麵粉
碱水面包	鹼水麵包
麸皮面包	麩皮麵包
面人儿	麵人兒
面包	麵包
面包屑	麵包屑
面包师傅	麵包師傅
面包店	麵包店
面包心	麵包心
面包房	麵包房
面包果	麵包果
面包树	麵包樹
面包机	麵包機
面包渣	麵包渣
面包片	麵包片
面包瓤	麵包瓤
面包皮	麵包皮
面包糠	麵包糠
面包虫	麵包蟲
面包车	麵包車
面塑	麵塑
面条	麵條
面档	麵檔
面汤	麵湯
面疙瘩	麵疙瘩
面的	麵的
面种	麵種
面窝	麵窩
面筋	麵筋
面粉	麵粉
面线	麵線
面类	麵類
面食	麵食
面饼	麵餅
面体	麵體
面点	麵點
𰻝𰻝面	𰻞𰻞麵
一日千里	一日千里
七里河	七里河
七里河区	七里河區
七里香	七里香
三里屯	三里屯
三里河	三里河
下里巴人	下里巴人
不远千里	不遠千里
二里头	二里頭
亚得里亚海	亞得里亞海
亚里士多德	亞里士多德
亚里斯多德	亞里斯多德
伊里奇	伊里奇
佛罗里达	佛羅里達
佛罗里达州	佛羅里達州
佳里	佳里
杰弗里·乔叟	傑弗里·喬叟
杰里科	傑里科
杰里米	傑里米
八里	八里
八里乡	八里鄉
公里	公里
凯茜·弗里曼	凱茜·弗里曼
凯里	凱里
凯里市	凱里市
利古里亚	利古里亞
利比里亚	利比里亞
加达里	加達里
加里宁格勒	加里寧格勒
加里宁格勒州	加里寧格勒州
加里曼丹	加里曼丹
加里曼丹岛	加里曼丹島
加里波第	加里波第
加里肋亚	加里肋亞
加里肋亚海	加里肋亞海
包里斯	包里斯
北马里亚纳	北馬里亞納
北马里亚纳群岛	北馬里亞納群島
十万八千里	十萬八千里
十里洋场	十里洋場
千里	千里
千里之外	千里之外
千里寄鹅毛	千里寄鵝毛
千里搭长棚，没有不散的宴席	千里搭長棚，沒有不散的宴席
千里眼	千里眼
千里迢迢	千里迢迢
千里送鹅毛	千里送鵝毛
千里送鹅毛，礼轻人意重	千里送鵝毛，禮輕人意重
千里送鹅毛，礼轻情意重	千里送鵝毛，禮輕情意重
千里达及托巴哥	千里達及托巴哥
千里达和多巴哥	千里達和多巴哥
千里马	千里馬
千里马常有，而伯乐不常有	千里馬常有，而伯樂不常有
千里鹅毛	千里鵝毛
卡利亚里	卡利亞里
卡拉布里亚	卡拉布里亞
卡斯特里	卡斯特里
卡尔加里	卡爾加里
卡路里	卡路里
厄立特里亚	厄立特里亞
古里古怪	古里古怪
可可西里	可可西里
吉里巴斯	吉里巴斯
和平里	和平里
哈里	哈里
哈里斯堡	哈里斯堡
哈里森·施密特	哈里森·施密特
乔戈里峰	喬戈里峰
乔格里峰	喬格里峰
嘉柏隆里	嘉柏隆里
叽里咕噜	嘰里咕嚕
吨公里	噸公里
噼里啪啦	噼里啪啦
啰里啰嗦	囉里囉嗦
坎塔布里亚	坎塔布里亞
埃夫伯里	埃夫伯里
埃里温	埃里溫
埔里	埔里
埔里镇	埔里鎮
基里巴斯	基里巴斯
基里巴斯共和国	基里巴斯共和國
塔里木	塔里木
塔里木河	塔里木河
塔里木盆地	塔里木盆地
塞韦里诺	塞韋里諾
墟里	墟里
墨索里尼	墨索里尼
大不里士	大不里士
大乌苏里岛	大烏蘇里島
大麻里	大麻里
大麻里乡	大麻里鄉
太麻里	太麻里
太麻里乡	太麻里鄉
失之毫厘，谬以千里	失之毫厘，謬以千里
失之毫厘，差之千里	失之毫釐，差之千里
失之毫厘，差以千里	失之毫釐，差以千里
奥布里	奧布里
奥里萨邦	奧里薩邦
好事不出门，恶事传千里	好事不出門，惡事傳千里
如堕五里雾中	如墮五里霧中
密苏里	密蘇里
密苏里州	密蘇里州
富里	富里
富里乡	富里鄉
尤里斯·伊文思	尤里斯·伊文思
居里	居里
居里夫人	居里夫人
峇里	峇里
左邻右里	左鄰右里
差之毫厘，失之千里	差之毫釐，失之千里
差之毫厘，谬以千里	差之毫釐，謬以千里
巴里	巴里
巴里坤	巴里坤
巴里坤县	巴里坤縣
巴里坤草原	巴里坤草原
市里	市里
布里坦尼	布里坦尼
布里奇顿	布里奇頓
布里斯托	布里斯托
布里斯托尔	布里斯托爾
布里斯托尔海峡	布里斯托爾海峽
布里斯班	布里斯班
布里特妮	布里特妮
布鲁姆斯伯里	布魯姆斯伯里
希拉里	希拉里
帕拉马里博	帕拉馬里博
帕特里夏	帕特里夏
平安里	平安里
平方公里	平方公里
底格里斯	底格里斯
底格里斯河	底格里斯河
库里提巴	庫里提巴
弗洛里斯岛	弗洛里斯島
弗里敦	弗里敦
弗里斯兰	弗里斯蘭
弗里曼	弗里曼
德里	德里
德里达	德里達
怪里怪气	怪里怪氣
恩里科·费米	恩里科·費米
恶事传千里	惡事傳千里
托里	托里
托里拆利	托里拆利
托里县	托里縣
拉里	拉里
摩根·弗里曼	摩根·弗里曼
故里	故里
斯瓦希里	斯瓦希里
斯瓦希里语	斯瓦希里語
斯科普里	斯科普里
斯里巴加湾港	斯里巴加灣港
斯里兰卡	斯里蘭卡
新喀里多尼亚	新喀里多尼亞
新德里	新德里
旋里	旋里
明里	明里
春武里府	春武里府
普利托里亚	普利托里亞
普里什蒂纳	普里什蒂納
普里切特	普里切特
晴空万里	晴空萬里
木里藏族自治县	木里藏族自治縣
村里	村里
东仓里	東倉里
果戈里	果戈里
柯里化	柯里化
格里姆斯塔	格里姆斯塔
格里高利	格里高利
桑托里尼岛	桑托里尼島
梅里亚姆·韦伯斯特	梅里亞姆·韋伯斯特
梅里斯	梅里斯
梅里斯区	梅里斯區
梅里斯达斡尔族区	梅里斯達斡爾族區
