戚	[('戚', 21), ('慼', 2)]
闲	[('閒', 45), ('閑', 30)]
伙	[('伙', 32), ('夥', 1)]
恒	[('恆', 44), ('恒', 2)]
占	[('佔', 24), ('占', 31)]
尝	[('嘗', 16), ('嚐', 1)]
蒙	[('蒙', 144), ('濛', 6), ('矇', 15), ('懞', 1)]
奸	[('姦', 27), ('奸', 30)]
佣	[('佣', 4), ('傭', 13)]
肴	[('餚', 2), ('肴', 1), ('殽', 1)]
蔑	[('蔑', 5), ('衊', 3)]
岩	[('岩', 120), ('巖', 7)]
宴	[('宴', 32), ('讌', 1)]
俊	[('俊', 19), ('儁', 2)]
杠	[('槓', 27), ('杠', 5)]
札	[('札', 18), ('劄', 1)]
炼	[('煉', 36), ('鍊', 2)]
厂	[('廠', 74), ('厂', 2)]
冲	[('衝', 72), ('沖', 59)]
背	[('背', 185), ('揹', 1)]
霉	[('霉', 33), ('黴', 5)]
借	[('借', 88), ('藉', 4)]
泄	[('泄', 15), ('洩', 24)]
雇	[('僱', 5), ('雇', 8)]
凶	[('兇', 33), ('凶', 24)]
僵	[('僵', 20), ('殭', 4)]
朴	[('樸', 21), ('朴', 13)]
勋	[('勛', 7), ('勳', 8)]
御	[('禦', 12), ('御', 24)]
饥	[('飢', 17), ('饑', 4)]
艳	[('艷', 28), ('豔', 6)]
卤	[('鹵', 18), ('滷', 8)]
涅	[('涅', 24), ('湼', 2)]
厘	[('釐', 16), ('厘', 9)]
它	[('它', 6), ('牠', 1)]
冢	[('冢', 3), ('塚', 4)]
凄	[('凄', 2), ('悽', 10), ('淒', 18)]
蘖	[('蘖', 2), ('櫱', 1)]
熏	[('薰', 4), ('熏', 12), ('燻', 9)]
刮	[('刮', 24), ('颳', 2)]
铲	[('鏟', 15), ('剷', 3)]
剃	[('剃', 12), ('薙', 1)]
锉	[('剉', 2), ('銼', 2)]
咽	[('咽', 17), ('嚥', 10)]
采	[('採', 56), ('采', 20)]
剿	[('剿', 10), ('勦', 1)]
腊	[('臘', 24), ('腊', 1)]
淀	[('澱', 13), ('淀', 5)]
匾	[('匾', 4), ('楄', 1)]
堤	[('堤', 13), ('隄', 1)]
毁	[('毀', 36), ('燬', 4), ('譭', 1)]
污	[('污', 55), ('汙', 1)]
溪	[('溪', 91), ('谿', 1)]
吁	[('吁', 10), ('籲', 4)]
咨	[('諮', 7), ('咨', 5)]
呆	[('呆', 30), ('獃', 3)]
痴	[('癡', 7), ('痴', 26)]
啮	[('嚙', 6), ('囓', 1), ('齧', 2)]
咸	[('咸', 20), ('鹹', 18)]
昆	[('崑', 14), ('昆', 21)]
喂	[('喂', 3), ('餵', 9)]
喧	[('喧', 8), ('諠', 1)]
驼	[('駝', 23), ('駞', 1)]
涌	[('湧', 23), ('涌', 4)]
窑	[('窯', 11), ('窰', 1)]
帘	[('簾', 13), ('帘', 1)]
虱	[('虱', 6), ('蝨', 7)]
漓	[('漓', 7), ('灕', 3)]
鲠	[('鯁', 6), ('骾', 1)]
袅	[('裊', 7), ('嫋', 1), ('嬝', 1)]
泛	[('泛', 45), ('氾', 1)]
弥	[('彌', 38), ('瀰', 2)]
檐	[('簷', 4), ('檐', 6)]
昵	[('昵', 5), ('暱', 3)]
悫	[('愨', 1), ('慤', 1)]
郁	[('鬱', 36), ('郁', 5)]
跷	[('蹻', 1), ('蹺', 10)]
